Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,2048
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,2096
Lower Discriminator:,62
Calibration Coefficients:Elapsed Real Time:,195.42
Elapsed Live Time:,181.94
Start Time:,abril 25, 2023, 12:52:16
End Time:,abril 25, 2023, 12:56:10
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,1
31,,1
32,,3
33,,3
34,,1
35,,2
36,,3
37,,5
38,,4
39,,7
40,,4
41,,8
42,,17
43,,76
44,,215
45,,597
46,,1300
47,,1951
48,,2217
49,,2257
50,,2181
51,,2258
52,,2182
53,,2166
54,,2270
55,,2261
56,,2179
57,,2250
58,,2339
59,,2441
60,,2479
61,,2457
62,,2525
63,,2539
64,,2685
65,,2656
66,,2766
67,,2725
68,,2693
69,,2684
70,,2703
71,,2661
72,,2654
73,,2744
74,,2617
75,,2642
76,,2564
77,,2481
78,,2576
79,,2606
80,,2628
81,,2637
82,,2603
83,,2640
84,,2500
85,,2530
86,,2641
87,,2546
88,,2626
89,,2619
90,,2570
91,,2583
92,,2704
93,,2600
94,,2700
95,,2766
96,,2821
97,,2671
98,,2806
99,,2875
100,,2896
101,,2938
102,,2978
103,,2978
104,,3107
105,,3014
106,,3058
107,,3132
108,,3085
109,,3212
110,,3170
111,,3160
112,,3292
113,,3201
114,,3290
115,,3227
116,,3123
117,,3250
118,,3280
119,,3155
120,,3164
121,,3163
122,,3055
123,,3143
124,,3097
125,,2965
126,,3056
127,,2994
128,,2980
129,,2912
130,,2886
131,,2888
132,,2844
133,,2635
134,,2704
135,,2715
136,,2786
137,,2683
138,,2700
139,,2833
140,,2597
141,,2557
142,,2595
143,,2517
144,,2512
145,,2532
146,,2538
147,,2600
148,,2502
149,,2553
150,,2457
151,,2501
152,,2464
153,,2420
154,,2479
155,,2392
156,,2384
157,,2372
158,,2257
159,,2423
160,,2314
161,,2380
162,,2324
163,,2363
164,,2272
165,,2345
166,,2366
167,,2252
168,,2305
169,,2285
170,,2244
171,,2331
172,,2245
173,,2292
174,,2259
175,,2222
176,,2237
177,,2294
178,,2182
179,,2287
180,,2344
181,,2319
182,,2248
183,,2262
184,,2310
185,,2225
186,,2193
187,,2258
188,,2210
189,,2158
190,,2218
191,,2187
192,,2288
193,,2162
194,,2129
195,,2204
196,,2130
197,,2158
198,,2136
199,,2172
200,,2113
201,,2111
202,,2204
203,,2200
204,,2077
205,,2031
206,,2140
207,,2144
208,,2123
209,,2071
210,,2112
211,,2152
212,,2167
213,,2068
214,,2083
215,,2028
216,,2194
217,,2107
218,,2168
219,,1996
220,,2083
221,,2131
222,,2047
223,,2067
224,,2010
225,,2066
226,,2059
227,,2065
228,,2075
229,,2025
230,,2009
231,,2078
232,,1938
233,,1994
234,,1960
235,,1951
236,,2001
237,,2016
238,,1951
239,,2023
240,,1922
241,,2002
242,,1945
243,,1997
244,,1939
245,,1982
246,,2012
247,,1927
248,,2072
249,,1866
250,,1853
251,,1891
252,,1853
253,,1935
254,,1932
255,,1903
256,,1903
257,,1899
258,,1865
259,,1906
260,,1805
261,,1803
262,,1781
263,,1777
264,,1775
265,,1748
266,,1697
267,,1755
268,,1706
269,,1723
270,,1601
271,,1543
272,,1571
273,,1469
274,,1476
275,,1534
276,,1435
277,,1405
278,,1435
279,,1402
280,,1308
281,,1288
282,,1215
283,,1234
284,,1204
285,,1172
286,,1114
287,,1104
288,,1071
289,,1028
290,,948
291,,954
292,,932
293,,870
294,,858
295,,819
296,,842
297,,754
298,,733
299,,701
300,,673
301,,594
302,,611
303,,606
304,,559
305,,516
306,,552
307,,501
308,,527
309,,457
310,,449
311,,431
312,,438
313,,425
314,,403
315,,371
316,,345
317,,370
318,,347
319,,340
320,,338
321,,334
322,,301
323,,275
324,,293
325,,286
326,,276
327,,293
